judul,imdb_rating,metascore,votes
Pokémon Detective Pikachu,6.6,53        ,124563
Isn't It Romantic,5.9,60        ,57845
The Two Popes,7.6,,91086
1BR,5.8,57        ,1349
Descendants 3,6.7,,4180
Z,5.4,,670
Cold Pursuit,6.2,57        ,51316
The Jesus Rolls,4.4,44        ,1463
"Endings, Beginnings",5.7,41        ,952
A Score to Settle,4.6,,3213
Judy,6.9,,30297
The Spy,7.9,,23827
The Islands,6.1,,628
Crawl,6.2,60        ,52859
In the Shadow of the Moon,6.2,48        ,33633
Arctic Dogs,4.5,,977
Pain and Glory,7.6,,40505
Giri/Haji,7.9,,5895
The New Pope,8.2,,8337
In the Tall Grass,5.4,46        ,39313
The Aeronauts,6.6,60        ,21181
Troop Zero,6.9,59        ,5882
Child's Play,5.8,48        ,37474
Lady and the Tramp,6.3,48        ,12329
Tolkien,6.8,48        ,26914
Bennett's War,5.5,,398
The Silence of the Marsh,5.0,,2207
The Order,6.9,,13225
Light of My Life,6.6,,8003
The Angry Birds Movie 2,6.4,60        ,17135
Annabelle Comes Home,5.9,53        ,49553
I Am Mother,6.7,,65559
Dolemite Is My Name,7.3,,44944
The Lego Movie 2: The Second Part,6.6,,49095
The Professor and the Madman,7.3,,26098
Les Misérables,7.6,,10465
Harriet,6.4,,13652
One Day: Justice Delivered,5.6,,1056
The Spanish Princess,6.8,,2910
Truth Be Told,7.1,,3589
The Dirt,7.0,,35265
Weathering with You,7.6,,10076
Reprisal,7.5,,2517
Abominable,7.0,,22605
Star Wars Jedi: Fallen Order,8.7,,4324
47 Meters Down: Uncaged,5.0,43        ,15735
Official Secrets,7.3,,19940
Warrior,8.2,,9971
The Kitchen,5.4,,11586
Good Trouble,7.4,,3193
The Capture,7.8,,6785
Planet of the Humans,6.8,56        ,1599
Swamp Thing,7.6,,16311
The Farewell,7.6,,38439
The Red Sea Diving Resort,6.5,,19735
How to Train Your Dragon: The Hidden World,7.5,,92502
Late Night,6.5,,22184
The Family Man,8.6,,18686
Flack,6.9,,1390
What/If,6.3,,11497
Evil,7.6,,7004
The Righteous Gemstones,8.1,,9896
Gundala,7.2,,2333
The Dark Crystal: Age of Resistance,8.5,,18713
Treadstone,7.0,,6221
Dumbo,6.3,51        ,59813
The I-Land,4.5,,13028
Beastars,8.0,,3117
Godfather of Harlem,8.0,,4233
Robert the Bruce,5.2,42        ,1298
Black and Blue,6.3,54        ,10670
Pet Sematary,5.7,57        ,73069
The Aftermath,6.3,43        ,14736
Calm with Horses,6.8,,628
The Silence,5.3,,32862
The Addams Family,5.8,46        ,19921
Grand Isle,4.5,,1358
A Good Woman Is Hard to Find,6.1,,938
Breakthrough,6.2,46        ,7204
Catch-22,7.8,,12806
Waves,7.6,,10986
Daybreak,6.7,,12867
L.A.'s Finest,5.7,,2315
Last Christmas,6.5,50        ,33688
Years and Years,8.4,,16911
Countdown,5.4,,17359
Haunt,6.3,,14100
Klaus,8.2,,68187
Miracle Workers,7.0,,7385
Undone,8.2,,10228
We Summon the Darkness,5.1,55        ,1875
The Curse of la Llorona,5.3,41        ,32611
Danger Close,6.9,,6614
Shaft,6.4,40        ,39481
The Good Liar,6.6,55        ,15802
Circus of Books,7.1,,1990
Captive State,6.0,54        ,44572
Pinocchio,6.5,,2104
Schooled,6.9,,2430
Sound of Metal,6.9,,269
Coma,6.5,,1556
The Beach Bum,5.5,55        ,15764
The Boy Who Harnessed the Wind,7.6,,20944
Don't F**k with Cats: Hunting an Internet Killer,8.1,,28054
Briarpatch,6.4,,1354
V-Wars,6.1,,10466
High School Musical: The Musical - The Series,7.3,,2118
Kurulus: Osman,7.7,,1201
Queen & Slim,7.0,,14239
The Art of Self-Defense,6.7,,22090
The Painted Bird,7.2,,1312
Dare Me,6.7,,2171
Pup Academy,6.7,,232
Looking for Alaska,8.1,,5333
The Promised Neverland,8.8,,9786
Mixed-ish,6.2,,1301
Kota Factory,9.1,,19571
Dollface,7.3,,3143
An Officer and a Spy,7.2,56        ,7633
Girl on the Third Floor,4.6,,6219
Doom: Annihilation,3.6,,6488
The Other Lamb,5.0,,1072
A Dog's Journey,7.4,43        ,15172
Vault,5.4,,1426
Wu-Tang: An American Saga,8.3,,2729
Big Time Adolescence,7.0,,3085
Porno,4.9,49        ,562
Monos,7.1,,9500
City on a Hill,7.5,,5581
The Whistlers,6.4,,2623
Eli,5.7,,24396
"Where'd You Go, Bernadette",6.5,51        ,11831
The Oval,3.7,,422
Escape Plan: The Extractors,4.4,,9703
Dublin Murders,7.1,,4295
Pennyworth,8.0,,6461
Journey to China: The Mystery of Iron Mask,4.7,,1331
Dark Side of the Ring,8.7,,906
Always Be My Maybe,6.8,,40648
Vinland Saga,8.9,,7079
Raising Dion,7.2,,7633
La Belle Époque,7.5,,5709
Wu Assassins,6.4,,8512
Bloom,6.6,,1002
The House on the Hill,4.9,,88
Rabid,5.1,43        ,2818
Seberg,5.4,54        ,2759
Our Planet,9.3,,25333
Once Upon a Time in London,6.1,,4349
Gold Digger,6.5,,1471
Awoken,4.5,,352
The Balkan Line,6.6,,7073
Gentleman Jack,8.2,,7485
The Poison Rose,4.6,,4948
Selah and the Spades,4.5,,579
Velvet Buzzsaw,5.7,,49736
Wounds,4.0,51        ,13251
The Pier,7.3,,1979
Tammy's Always Dying,5.7,55        ,137
Mrs. Fletcher,7.0,,3833
Brittany Runs a Marathon,6.8,,12250
"Exorcism at 60,000 Feet",4.2,,168
Can You Keep a Secret?,5.3,,6827
Sweetness in the Belly,4.0,49        ,127
The L Word: Generation Q,7.3,,2396
Playing with Fire,4.9,,7610
The Intruder,5.6,,10996
3 from Hell,5.6,50        ,9319
The Loudest Voice,7.9,,8423
Missing Link,6.7,,18397
Dickinson,7.2,,3781
Black Monday,7.4,,3308
My Hero Academia: Heroes Rising,8.1,,1228
Black Summer,6.4,,16959
Death Stranding,9.0,,3700
Shrill,7.4,,4198
Twin,7.2,,796
Kidnapping Stella,4.8,,4585
System Crasher,7.9,,6012
Too Old to Die Young,7.4,,5782
Waiting for the Barbarians,6.1,55        ,338
Jexi,6.1,,14416
Little Monsters,6.3,59        ,9792
On Becoming a God in Central Florida,7.2,,2668
Call of Duty: Modern Warfare,8.6,,2215
Bacurau,7.6,,12589
Red Shoes and the Seven Dwarfs,6.3,,1052
UglyDolls,4.9,,4726
Une fille facile,5.4,,818
Northern Rescue,7.1,,2895
Sorry We Missed You,7.6,,10148
Tall Girl,5.2,,14878
The Last Man,3.8,,889
Between Two Ferns: The Movie,6.1,59        ,23310
Four Weddings and a Funeral,7.1,,3210
The Courier,5.1,,4108
The Gift,7.6,,13166
Criminal Justice,8.1,,5222
Primal,4.8,,3361
Living with Yourself,7.2,,21730
Come to Daddy,6.0,,6789
Castle in the Ground,6.7,,130
Badland,5.7,46        ,1658
The Last Black Man in San Francisco,7.3,,10729
Twin Murders: The Silence of the White City,5.2,,2648
The Mallorca Files,6.1,,508
Saint Frances,6.5,,502
Extra Ordinary,6.4,,4280
IO,4.7,40        ,28831
PEN15,7.9,,3474
Line of Duty,5.3,50        ,2035
Ride Like a Girl,6.9,44        ,1731
The Coldest Game,6.2,,6123
The Widow,6.9,,6964
Mortal Kombat 11,7.5,,1589
Deadwood: The Movie,7.4,,16701
Run This Town,4.4,57        ,249
Nancy Drew and the Hidden Staircase,5.7,55        ,3104
Pandora,3.9,,2102
Happy Death Day 2U,6.2,57        ,49361
Paradise Hills,5.8,50        ,11135
Angel of Mine,6.5,47        ,7117
Curiosa,5.4,,949
Someone Great,6.2,,15394
Queen of Hearts,7.2,,5534
High Seas,6.8,,4539
Running with the Devil,5.4,42        ,4923
Domino,4.4,40        ,3520
Avengement,6.5,,8822
Quicksand,7.5,,13957
Ordinary Love,6.6,,1481
Fosse/Verdon,7.9,,4110
Dark Light,4.2,,1154
Close,5.7,51        ,18987
What Men Want,5.2,49        ,18110
Crypto,5.3,,2730
The Perfect Date,5.8,,28506
The Kill Team,5.9,60        ,2438
To the Stars,6.0,60        ,490
The Last Summer,5.6,,9568
The Bonfire of Destiny,7.7,,1966
Luce,6.7,,6914
Bard of Blood,7.0,,7508
Sweetheart,5.7,,4249
Lucy in the Sky,4.7,,3323
The Infiltrators,5.7,,123
Unplanned,5.8,,11760
I Lost My Body,7.6,,21133
The Kid,5.9,51        ,5812
Jarhead: Law of Return,6.2,,2217
Dreamland,6.4,,211
Blood & Treasure,6.6,,3063
The Furies,5.3,,2449
Kim Possible,3.6,,2118
Rim of the World,5.1,,16328
Mermaid Down,6.4,,4031
Pure,7.3,,1207
The Best of Enemies,7.1,49        ,7274
Heroic Losers,7.4,,4296
Les traducteurs,6.3,,789
MotherFatherSon,6.7,,2130
Human Capital,6.3,51        ,3232
Criminal: UK,7.4,,7759
The Truth,6.4,,2386
The War of the Worlds,5.0,,6255
Batman: Hush,6.9,,10443
Marianne,7.5,,9739
Hearts and Bones,6.4,,194
Secret Obsession,4.3,,16108
Tales of the City,7.4,,5380
A Confession,7.5,,3756
Temple,6.9,,1543
Guava Island,6.7,,8116
Villains,6.2,,5405
Proxima,6.4,,1754
The Souvenir,6.5,,7053
Good Newwz,7.1,,11474
VFW,6.1,,2622
Lying and Stealing,5.3,50        ,3254
Beanpole,7.1,,4810
I Am the Night,7.0,,6188
Bob Hearts Abishola,6.6,,1975
Polaroid,5.1,,8814
Made in Heaven,8.3,,6715
Power Rangers Beast Morphers,6.8,,257
Daniel Isn't Real,6.1,,3647
Black Christmas,3.2,49        ,7590
The Wolf's Call,6.9,,10834
Earthquake Bird,5.9,51        ,10841
Now Apocalypse,6.1,,2517
The Forest of Love,6.4,,1246
Wonder Park,5.8,45        ,8642
3022,4.5,,2300
Super Deluxe,8.4,,6832
The Prodigy,5.8,45        ,20711
Article 15,8.2,,18839
Badla,7.9,,19024
Triple Threat,5.5,60        ,8348
Honeyland,8.0,,10215
The Song of Names,6.2,51        ,1018
Baarish,8.8,,1146
Kumbalangi Nights,8.6,,6060
Wonder Woman: Bloodlines,5.8,,3548
Wisting,7.4,,2546
Let It Snow,5.8,51        ,14798
Kill Chain,5.0,,2354
Formula 1: Drive to Survive,8.6,,13665
The Traitor,7.1,,5783
Gully Boy,8.2,,26881
Bit,3.5,,369
Disappearance at Clifton Hill,5.6,,526
The Unicorn,7.0,,1723
The Body,5.4,,2209
Trauma Center,4.9,,5514
My Life Is Murder,7.4,,906
Family Reunion,6.3,,1216
Zeroville,4.6,,1132
Atlantics,6.8,,6082
Pearson,6.8,,1658
After the Wedding,6.2,50        ,3922
The Wave,6.1,51        ,1579
Playmobil: The Movie,4.7,,2459
Wine Country,5.4,56        ,16766
The Bay,6.8,,2329
Sistas,4.7,,324
Vagabond,8.3,,2256
The Passage,7.4,,9853
The Operative,5.6,47        ,3029
Trinkets,7.1,,4068
Behind the Trees,6.6,,637
Alien Warfare,2.6,,2417
Kuzgun,7.7,,1607
The Wandering Earth,6.0,57        ,24199
"The Gangster, the Cop, the Devil",6.9,,5453
The Name of the Rose,6.9,,2612
Ghostwriter,5.2,,457
Catherine the Great,6.1,,3439
Invisible Life,7.9,,3821
James vs. His Future Self,5.8,,434
State of the Union,7.9,,2721
Ravening,8.2,,732
Semper Fi,6.1,48        ,1445
Delhi Crime,8.5,,8794
Sibyl,5.8,58        ,1464
Chhichhore,8.0,,17683
Grand Hotel,7.0,,2676
Honour,6.4,,510
Corpus Christi,7.7,,6732
The Twelve,7.7,,958
The Fanatic,4.3,,6064
Undercover,7.9,,6511
Whiskey Cavalier,7.1,,7694
A Violent Separation,5.6,,1020
Falling Inn Love,5.6,,13057
The Blackout,6.2,,500
South Mountain,5.2,,104
Lucky Day,4.9,,1249
Little Joe,5.9,60        ,3469
The Rook,6.8,,3550
Jett,7.4,,3393
The Little Mermaid Live!,5.6,,650
Beforeigners,7.9,,4849
Airplane Mode,3.8,,3194
A Dog's Way Home,6.7,50        ,12707
Harpoon,6.0,,2801
The Untamed,8.9,,1364
Miss Bala,5.7,41        ,7031
The Personal History of David Copperfield,6.6,,3157
Finding Steve McQueen,6.2,56        ,3323
Above Suspicion,5.6,,464
It Must Be Heaven,7.1,,2048
Uri: The Surgical Strike,8.3,,39155
"Oh, Ramona!",4.9,,7193
Satanic Panic,5.6,51        ,3128
Mr. Jones,6.8,,3108
Butt Boy,4.9,56        ,437
Carol's Second Act,5.6,,1560
Valhalla,5.9,,1832
Apollo 11,8.2,,18118
Wasp Network,5.5,53        ,813
A Serial Killer's Guide to Life,4.9,,554
Section 375,8.1,,8733
Love and Sunshine,7.3,,693
Do Not Reply,7.1,,32
Oogappels,7.8,,257
Rogue Warfare,2.7,,613
Hostel Daze,8.7,,4529
The Wild Goose Lake,6.9,,2959
War,6.5,,16951
10 Minutes Gone,3.6,,1914
Hostages,6.8,,2391
The Hole in the Ground,5.7,,13213
Pretty Little Liars: The Perfectionists,7.1,,3264
Fisherman's Friends,6.9,,4121
"Faith, Hope & Love",6.1,,379
The Kid Who Would Be King,6.0,,13370
Kaguya-sama: Love Is War,8.1,,1930
The Vast of Night,7.1,,290
Little,5.4,49        ,9155
StarDog and TurboCat,7.3,,795
The Office,6.5,,3167
Dr. Stone,8.2,,4934
Brexit,7.0,,11991
Primal,8.7,,3235
General Commander,3.4,,695
Year of the Rabbit,7.4,,1982
More Beautiful for Having Been Broken,5.1,,224
Plus One,6.6,,5705
Killer Cove,4.2,,316
Kaithi,8.5,,7077
Iron Sky: The Coming Race,5.0,,7387
Lucifer,7.5,,6255
Being,3.2,,75
Purity Falls,4.8,,285
Killers Anonymous,5.3,,6790
Stairs,5.4,,570
Dolly Parton's Heartstrings,7.6,,1497
Kingdom Hearts III,8.6,,1330
About Endlessness,6.9,,1515
Yemin,6.4,,326
Killerman,5.6,42        ,3284
London Kills,6.6,,863
Ms Fisher's Modern Murder Mysteries,7.1,,937
The Last Czars,7.3,,4951
Mine 9,6.7,,3909
Point Blank,5.7,,10296
Cold Blood,4.6,,3105
Poms,5.8,,3351
Overcomer,6.5,,3074
Inside Man: Most Wanted,5.6,,2228
Deerskin,6.8,,3947
Borderlands 3,8.2,,850
Hotel Del Luna,8.4,,1717
American Factory,7.4,,14136
Vienna Blood,7.4,,1862
Kabir Singh,7.1,,23851
The Queen's Corgi,4.8,,4471
No Good Nick,5.8,,1873
"Perpetual Grace, LTD",7.5,,1696
Hope Gap,6.3,58        ,416
Super 30,8.0,,17645
Braking for Whales,4.3,,106
The Golden Glove,6.7,,7114
The Death and Return of Superman,6.9,,1699
Manhunt,7.4,,3125
Ghosts,7.8,,2378
Asuran,8.6,,7252
Restaurants on the Edge,6.6,,459
The Specials,7.5,,3563
Buddy vs. Duff,5.0,,210
Fruits Basket,8.3,,989
Traces,6.8,,819
Babyteeth,7.1,,532
Noelle,6.2,48        ,9792
Arthdal Chronicles,8.3,,1864
Intrigo: Samaria,5.2,,98
Jungleland,7.7,51        ,63
The Last Kids on Earth,7.5,,498
Matchday: Inside FC Barcelona,8.3,,373
A Christmas Carol,7.2,,6807
Here Awhile,8.6,,14
The Sun Is Also a Star,5.8,52        ,4781
Remember Me,5.5,,161
The Dare,4.8,,500
Beecham House,6.4,,831
The Siren,4.7,,263
Awake,5.0,,2123
The Feed,6.2,,1084
Star Wars: Rise of the Resistance,7.8,,104
The Way You Look Tonight,6.7,,94
The Bygone,6.5,,2005
Lost Gold of WW2,6.2,,172
A Madea Family Funeral,4.4,,3418
Hazbin Hotel,8.1,,1480
The Immortal,6.2,,1828
